,IStart,MStart,RStart,REnd,SymHmin
248,1993-01-27 17:55:00,1993-01-31 07:38:00,1993-01-31 21:58:00,1993-02-03 06:05:00,-94.0
249,1993-02-16 12:49:00,1993-02-17 13:05:00,1993-02-17 15:30:00,1993-02-19 15:53:00,-103.0
250,1993-03-08 17:35:00,1993-03-09 00:17:00,1993-03-09 06:11:00,1993-03-09 19:53:00,-146.0
251,1993-03-11 06:41:00,1993-03-11 12:51:00,1993-03-11 18:36:00,1993-03-12 20:32:00,-126.0
252,1993-03-15 00:38:00,1993-03-15 05:53:00,1993-03-15 12:23:00,1993-03-16 10:03:00,-84.0
253,1993-03-22 23:50:00,1993-03-24 01:50:00,1993-03-24 07:24:00,1993-03-25 07:11:00,-92.0
254,1993-04-02 19:03:00,1993-04-04 15:01:00,1993-04-05 06:15:00,1993-04-06 09:31:00,-191.0
255,1993-05-07 11:32:00,1993-05-08 00:05:00,1993-05-08 08:52:00,1993-05-08 21:55:00,-92.0
256,1993-05-08 21:56:00,1993-05-08 21:57:00,1993-05-10 06:32:00,1993-05-13 15:37:00,-120.0
257,1993-05-30 18:42:00,1993-06-04 03:27:00,1993-06-04 09:54:00,1993-06-08 07:37:00,-89.0
258,1993-07-02 08:17:00,1993-07-02 12:48:00,1993-07-02 22:13:00,1993-07-03 10:52:00,-88.0
259,1993-08-13 07:14:00,1993-08-15 22:00:00,1993-08-17 02:53:00,1993-08-18 02:33:00,-94.0
260,1993-08-26 14:42:00,1993-08-27 14:55:00,1993-08-27 17:55:00,1993-08-29 13:51:00,-89.0
261,1993-09-07 06:38:00,1993-09-12 19:48:00,1993-09-13 05:36:00,1993-09-16 07:36:00,-190.0
262,1993-10-08 16:38:00,1993-10-09 05:18:00,1993-10-09 07:24:00,1993-10-11 10:46:00,-106.0
263,1993-10-26 18:18:00,1993-10-27 01:12:00,1993-10-27 08:22:00,1993-10-27 13:38:00,-84.0
264,1993-11-02 02:48:00,1993-11-03 23:28:00,1993-11-04 06:26:00,1993-11-09 11:53:00,-128.0
265,1993-11-17 20:30:00,1993-11-18 14:59:00,1993-11-19 04:41:00,1993-11-20 15:57:00,-85.0
266,1993-11-29 15:08:00,1993-12-01 13:09:00,1993-12-03 00:48:00,1993-12-05 04:49:00,-116.0
267,1993-12-07 03:44:00,1993-12-07 14:00:00,1993-12-08 04:54:00,1993-12-09 17:32:00,-100.0
268,1994-02-03 09:33:00,1994-02-05 14:04:00,1994-02-06 00:26:00,1994-02-06 09:40:00,-81.0
